name;type;tools;github;liveurl;;;;;;;;;;;;;;;;;;;;;;;
Employee Tracker ;Web App;JavaScript | React | CSS | Local storage;https://github.com/mabilisasandile/employee_tracker_1;expense-tracker-app-e1103.web.app;;;;;;;;;;;;;;;;;;;;;;;
To-Do List;Web App;JavaScript | React | CSS | Firebase;https://github.com/mabilisasandile/To_Do_List;to-do-list-592d8.web.app;;;;;;;;;;;;;;;;;;;;;;;
Hotel Booking;Web App;JavaScript | React | CSS  ;https://github.com/mabilisasandile/hotel-booking-app;hotel-bookings-app.web.app;;;;;;;;;;;;;;;;;;;;;;;
Weather App;Web App;JavaScript | React | CSS | APIs ;https://github.com/mabilisasandile/weather-app;https://weather-app-f5c30.web.app;;;;;;;;;;;;;;;;;;;;;;;
Shopping List;Web App;JavaScript | React | CSS | Redux;https://github.com/mabilisasandile/shopping-list-app;https://shopping-list-app-cf813.web.app;;;;;;;;;;;;;;;;;;;;;;;
Employee Tracker 2;Web App;JavaScript | HTML | CSS | EJS |  Node JS | Express JS | Firebase;https://github.com/mabilisasandile/employee-management-app;https://employee-management-app-lg3w.onrender.com;;;;;;;;;;;;;;;;;;;;;;;
Birthday Card;Mobile App;JavaScript | React Native | CSS;https://github.com/mabilisasandile/birthday-card-app;exp://u.expo.dev/update/e95a10c2-4f8d-4802-aaa9-ce5d2d77d6aa;;;;;;;;;;;;;;;;;;;;;;;
Audio Recorder;Mobile App;JavaScript | React Native | CSS | Firebase;https://github.com/mabilisasandile/audio-recorder-A;exp://u.expo.dev/update/261d7838-d813-4876-a85e-7895f0013f44;;;;;;;;;;;;;;;;;;;;;;;
Audio Recorder 2;Mobile App;JavaScript | React Native | CSS | Firebase |Auth SDK;https://github.com/mabilisasandile/Audio-Recorder-B;exp://u.expo.dev/update/375691a5-6ba7-445e-ace4-2bde0e5472b9;;;;;;;;;;;;;;;;;;;;;;;
Audio Recorder 3;Mobile App;JavaScript | React Native | CSS | Firebase | Auth Rest-API ;https://github.com/mabilisasandile/Audio-Recorder-REST;exp://u.expo.dev/update/1cc55048-073f-4984-af8d-65f9f2fe50c9;;;;;;;;;;;;;;;;;;;;;;;
Image Gallery;Mobile App;JavaScript | React Native | CSS | Expo | SQLite;https://github.com/mabilisasandile/image-gallery-app;exp://u.expo.dev/update/e55a10c2-3f8d-4502-aca9-ce2a2d17d6ac;;;;;;;;;;;;;;;;;;;;;;;
Restaurant App;Mobile App;JavaScript | React Native | CSS | Bootstrap | Firebase | Auth SDK | Stripe | Redux;https://github.com/mabilisasandile/Restaurant-App;exp://u.expo.dev/update/7705a239-c4f3-497c-99b3-55bcb5628daf;;;;;;;;;;;;;;;;;;;;;;;
Student Management;Web App;JavaScript | React | CSS | Bootstrap | MySQL | Node JS | Express JS;https://github.com/mabilisasandile/student-management;https://github.com/mabilisasandile/student-management;;;;;;;;;;;;;;;;;;;;;;;
